Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"rightClick(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:17,2022-12-01 22:52:18,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:18,2022-12-01 22:52:18,0.388s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:18,2022-12-01 22:52:19,0.536s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:19,2022-12-01 22:52:19,0.301s,PASSED
"click(findTestObject(""Object Repository/Page_Create your Google Account/span_Back""))",Chrome 107.0.0.0,,,2022-12-01 22:52:19,2022-12-01 22:52:19,0.334s,PASSED
,,,,,,,
Test Cases/GSU/Sign In Instead,Chrome 107.0.0.0,,,2022-12-01 22:52:19,2022-12-01 22:52:30,10.298s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:52:20,2022-12-01 22:52:21,1.701s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:52:21,2022-12-01 22:52:22,0.350s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (9)""))",Chrome 107.0.0.0,,,2022-12-01 22:52:22,2022-12-01 22:52:23,1.040s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Sign in with Google (3)""))",Chrome 107.0.0.0,,,2022-12-01 22:52:23,2022-12-01 22:52:25,2.751s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:52:25,2022-12-01 22:52:25,0.014s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (7)""))",Chrome 107.0.0.0,,,2022-12-01 22:52:25,2022-12-01 22:52:27,1.986s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (8)""))",Chrome 107.0.0.0,,,2022-12-01 22:52:27,2022-12-01 22:52:29,1.103s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Create your Google Account/span_Sign in instead""), 0)",Chrome 107.0.0.0,"GSU-018
",,2022-12-01 22:52:29,2022-12-01 22:52:29,0.869s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Create your Google Account/span_Sign in instead""))",Chrome 107.0.0.0,"GSU-019

",,2022-12-01 22:52:29,2022-12-01 22:52:30,0.300s,PASSED
